ORDERNUMBER,QUANTITYORDERED,PRICEEACH,Stock value,SALES,Profit,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,PHONE,CITY,STATE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10183,23,100,2300,5372.57,3072.57,11/13/2003 0:00,Shipped,4,11,2003,Classic Cars,S10_1949,"Classic Gift Ideas, Inc",2155554695,Philadelphia,PA,USA,Cervantes,Francisca,Medium
10194,42,100,4200,7290.36,3090.36,11/25/2003 0:00,Shipped,4,11,2003,Classic Cars,S10_1949,"Saveley & Henriot, Co.",78.32.5555,Lyon,Lyon,France,Saveley,Mary,Large
10206,47,100,4700,9064.89,4364.89,12-05-2003 00:00,Shipped,4,12,2003,Classic Cars,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,Vancouver,BC,Canada,Tannamuri,Yoshi,Large
10215,35,100,3500,6075.3,2575.3,1/29/2004 0:00,Shipped,1,1,2004,Classic Cars,S10_1949,West Coast Collectables Co.,3105553722,Burbank,CA,USA,Thompson,Steve,Medium
10228,29,100,2900,6463.23,3563.23,03-10-2004 00:00,Shipped,1,3,2004,Classic Cars,S10_1949,Cambridge Collectables Co.,6175555555,Cambridge,MA,USA,Tseng,Kyung,Medium
10245,34,100,3400,6120.34,2720.34,05-04-2004 00:00,Shipped,2,5,2004,Classic Cars,S10_1949,Super Scale Inc.,2035559545,New Haven,CT,USA,Murphy,Leslie,Medium
10258,32,100,3200,7680.64,4480.64,6/15/2004 0:00,Shipped,2,6,2004,Classic Cars,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,Minato-ku,Tokyo,Japan,Shimamura,Akiko,Large
10270,21,100,2100,4905.39,2805.39,7/19/2004 0:00,Shipped,3,7,2004,Classic Cars,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,Chatswood,NSW,Australia,Huxley,Adrian,Medium
10280,34,100,3400,8014.82,4614.82,8/17/2004 0:00,Shipped,3,8,2004,Classic Cars,S10_1949,Amica Models & Co.,011-4988555,Torino,Torino,Italy,Accorti,Paolo,Large
10291,37,100,3700,7136.19,3436.19,09-08-2004 00:00,Shipped,3,9,2004,Classic Cars,S10_1949,Scandinavian Gift Ideas,0695-34 6555,Boras,Boras,Sweden,Larsson,Maria,Large
10304,47,100,4700,10172.7,5472.7,10-11-2004 00:00,Shipped,4,10,2004,Classic Cars,S10_1949,Auto Assoc. & Cie.,30.59.8555,Versailles,Versailles,France,Tonini,Daniel,Large
10312,48,100,4800,11623.7,6823.7,10/21/2004 0:00,Shipped,4,10,2004,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.,4155551450,San Rafael,CA,USA,Nelson,Valarie,Large
10322,40,100,4000,6000.4,2000.4,11-04-2004 00:00,Shipped,4,11,2004,Classic Cars,S10_1949,Online Diecast Creations Co.,6035558647,Nashua,NH,USA,Young,Valarie,Medium
10333,26,100,2600,3003,403,11/18/2004 0:00,Shipped,4,11,2004,Classic Cars,S10_1949,Mini Wheels Co.,6505555787,San Francisco,CA,USA,Murphy,Julie,Medium
10347,30,100,3000,3944.7,944.7,11/29/2004 0:00,Shipped,4,11,2004,Classic Cars,S10_1949,"Australian Collectors, Co.",03 9520 4555,Melbourne,Victoria,Australia,Ferguson,Peter,Medium
10357,32,100,3200,5691.84,2491.84,12-10-2004 00:00,Shipped,4,12,2004,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.,4155551450,San Rafael,CA,USA,Nelson,Valarie,Medium
10369,41,100,4100,4514.92,414.92,1/20/2005 0:00,Shipped,1,1,2005,Classic Cars,S10_1949,Collectables For Less Inc.,6175558555,Brickhaven,MA,USA,Nelson,Allen,Medium
10381,36,100,3600,8254.8,4654.8,2/17/2005 0:00,Shipped,1,2,2005,Classic Cars,S10_1949,Corporate Gift Ideas Co.,6505551386,San Francisco,CA,USA,Brown,Julie,Large
10391,24,100,2400,2416.56,16.56,03-09-2005 00:00,Shipped,1,3,2005,Classic Cars,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,North Sydney,NSW,Australia,O'Hara,Anna,Small
10411,23,100,2300,4140.23,1840.23,05-01-2005 00:00,Shipped,2,5,2005,Classic Cars,S10_1949,Quebec Home Shopping Network,(514) 555-8054,Montreal,Quebec,Canada,Fresnisre,Jean,Medium
10424,50,100,5000,12001,7001,5/31/2005 0:00,In Process,2,5,2005,Classic Cars,S10_1949,Euro Shopping Channel,(91) 555 94 44,Madrid,Madrid,Spain,Freyre,Diego,Large
10107,39,99.91,3896.49,3896.49,0,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,S10_2016,Land of Toys Inc.,2125557818,NYC,NY,USA,Yu,Kwai,Medium
10120,29,96.34,2793.86,2793.86,0,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,S10_2016,"Australian Collectors, Co.",03 9520 4555,Melbourne,Victoria,Australia,Ferguson,Peter,Small
10134,27,100,2700,3307.77,607.77,07-01-2003 00:00,Shipped,3,7,2003,Motorcycles,S10_2016,Lyon Souveniers,+33 1 46 62 7555,Paris,Paris,France,Da Cunha,Daniel,Medium
10145,37,100,3700,5192.95,1492.95,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,S10_2016,Toys4GrownUps.com,6265557265,Pasadena,CA,USA,Young,Julie,Medium
10159,37,100,3700,5016.83,1316.83,10-10-2003 00:00,Shipped,4,10,2003,Motorcycles,S10_2016,Corporate Gift Ideas Co.,6505551386,San Francisco,CA,USA,Brown,Julie,Medium
10168,27,100,2700,3660.93,960.93,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles,S10_2016,Technics Stores Inc.,6505556809,Burlingame,CA,USA,Hirano,Juri,Medium
10180,42,100,4200,4695.6,495.6,11-11-2003 00:00,Shipped,4,11,2003,Motorcycles,S10_2016,Daedalus Designs Imports,20.16.1555,Lille,Lille,France,Rance,Martine,Medium
10188,38,96.34,3660.92,3660.92,0,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,S10_2016,Herkku Gifts,+47 2267 3215,Bergen,Bergen,Norway,Oeztan,Veysel,Medium
10201,24,100,2400,3025.92,625.92,12-01-2003 00:00,Shipped,4,12,2003,Motorcycles,S10_2016,Mini Wheels Co.,6505555787,San Francisco,CA,USA,Murphy,Julie,Medium
10210,23,100,2300,3009.09,709.09,01-12-2004 00:00,Shipped,1,1,2004,Motorcycles,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,Osaka,Osaka,Japan,Kentary,Mory,Medium
10223,47,100,4700,5422.39,722.39,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,S10_2016,"Australian Collectors, Co.",03 9520 4555,Melbourne,Victoria,Australia,Ferguson,Peter,Medium
10236,22,100,2200,2852.08,652.08,04-03-2004 00:00,Shipped,2,4,2004,Motorcycles,S10_2016,Motor Mint Distributors Inc.,2155559857,Philadelphia,PA,USA,Hernandez,Rosa,Small
10251,44,100,4400,5756.52,1356.52,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,S10_2016,Tekni Collectables Inc.,2015559350,Newark,NJ,USA,Brown,William,Medium
10263,40,100,4000,4472,472,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles,S10_2016,Gift Depot Inc.,2035552570,Bridgewater,CT,USA,King,Julie,Medium
10275,22,100,2200,2904.44,704.44,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,S10_2016,La Rochelle Gifts,40.67.8555,Nantes,Nantes,France,Labrune,Janine,Small
10285,47,100,4700,6484.59,1784.59,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,S10_2016,Marta's Replicas Co.,6175558555,Cambridge,MA,USA,Hernandez,Marta,Medium
10298,39,96.34,3757.26,3757.26,0,9/27/2004 0:00,Shipped,3,9,2004,Motorcycles,S10_2016,Atelier graphique,40.32.2555,Nantes,Nantes,France,Schmitt,Carine,Medium
10308,34,100,3400,4043.96,643.96,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles,S10_2016,Mini Classics,9145554562,White Plains,NY,USA,Frick,Steve,Medium
10318,45,100,4500,5566.5,1066.5,11-02-2004 00:00,Shipped,4,11,2004,Motorcycles,S10_2016,Diecast Classics Inc.,2155551555,Allentown,PA,USA,Yu,Kyung,Medium
10329,20,100,2000,3176,1176,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles,S10_2016,Land of Toys Inc.,2125557818,NYC,NY,USA,Yu,Kwai,Medium
10339,40,68.92,2756.8,2756.8,0,11/23/2004 0:00,Shipped,4,11,2004,Motorcycles,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,Minato-ku,Tokyo,Japan,Shimamura,Akiko,Small
10361,26,51.15,1329.9,1329.9,0,12/17/2004 0:00,Shipped,4,12,2004,Motorcycles,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,Chatswood,NSW,Australia,Huxley,Adrian,Small
10374,39,100,3900,5288.01,1388.01,02-02-2005 00:00,Shipped,1,2,2005,Motorcycles,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,South Brisbane,Queensland,Australia,Calaghan,Tony,Medium
10388,50,44.51,2225.5,2225.5,0,03-03-2005 00:00,Shipped,1,3,2005,Motorcycles,S10_2016,FunGiftIdeas.com,5085552555,New Bedford,MA,USA,Benitez,Violeta,Small
10402,45,100,4500,5833.8,1333.8,04-07-2005 00:00,Shipped,2,4,2005,Motorcycles,S10_2016,Auto Canal Petit,(1) 47.55.6555,Paris,Paris,France,Perrier,Dominique,Medium
10417,45,100,4500,5887.35,1387.35,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles,S10_2016,Euro Shopping Channel,(91) 555 94 44,Madrid,Madrid,Spain,Freyre,Diego,Medium
10107,27,100,2700,6065.55,3365.55,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,S10_4698,Land of Toys Inc.,2125557818,NYC,NY,USA,Yu,Kwai,Medium
10120,46,100,4600,9264.86,4664.86,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,S10_4698,"Australian Collectors, Co.",03 9520 4555,Melbourne,Victoria,Australia,Ferguson,Peter,Large
10134,31,100,3100,7023.98,3923.98,07-01-2003 00:00,Shipped,3,7,2003,Motorcycles,S10_4698,Lyon Souveniers,+33 1 46 62 7555,Paris,Paris,France,Da Cunha,Daniel,Large
10145,33,100,3300,5176.38,1876.38,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,S10_4698,Toys4GrownUps.com,6265557265,Pasadena,CA,USA,Young,Julie,Medium
10159,22,100,2200,4132.7,1932.7,10-10-2003 00:00,Shipped,4,10,2003,Motorcycles,S10_4698,Corporate Gift Ideas Co.,6505551386,San Francisco,CA,USA,Brown,Julie,Medium
10168,20,100,2000,4183,2183,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles,S10_4698,Technics Stores Inc.,6505556809,Burlingame,CA,USA,Hirano,Juri,Medium
10180,41,100,4100,8892.9,4792.9,11-11-2003 00:00,Shipped,4,11,2003,Motorcycles,S10_4698,Daedalus Designs Imports,20.16.1555,Lille,Lille,France,Rance,Martine,Large
10188,45,100,4500,8714.7,4214.7,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,S10_4698,Herkku Gifts,+47 2267 3215,Bergen,Bergen,Norway,Oeztan,Veysel,Large
10201,49,100,4900,8065.89,3165.89,12-01-2003 00:00,Shipped,4,12,2003,Motorcycles,S10_4698,Mini Wheels Co.,6505555787,San Francisco,CA,USA,Murphy,Julie,Large
10210,34,100,3400,6123.4,2723.4,01-12-2004 00:00,Shipped,1,1,2004,Motorcycles,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,Osaka,Osaka,Japan,Kentary,Mory,Medium
10223,49,100,4900,9774.03,4874.03,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,S10_4698,"Australian Collectors, Co.",03 9520 4555,Melbourne,Victoria,Australia,Ferguson,Peter,Large
10237,39,100,3900,7023.9,3123.9,04-05-2004 00:00,Shipped,2,4,2004,Motorcycles,S10_4698,Vitachrome Inc.,2125551500,NYC,NY,USA,Frick,Michael,Large
10251,43,100,4300,7078.23,2778.23,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,S10_4698,Tekni Collectables Inc.,2015559350,Newark,NJ,USA,Brown,William,Large
10263,41,100,4100,8336.94,4236.94,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles,S10_4698,Gift Depot Inc.,2035552570,Bridgewater,CT,USA,King,Julie,Large
10275,36,100,3600,6901.92,3301.92,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,S10_4698,La Rochelle Gifts,40.67.8555,Nantes,Nantes,France,Labrune,Janine,Medium
10285,27,100,2700,5438.07,2738.07,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,S10_4698,Marta's Replicas Co.,6175558555,Cambridge,MA,USA,Hernandez,Marta,Medium
10299,29,100,2900,6683.34,3783.34,9/30/2004 0:00,Shipped,3,9,2004,Motorcycles,S10_4698,"Toys of Finland, Co.",90-224 8555,Helsinki,Helsinki,Finland,Karttunen,Matti,Medium
10308,20,100,2000,4570.4,2570.4,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles,S10_4698,Mini Classics,9145554562,White Plains,NY,USA,Frick,Steve,Medium
10318,37,100,3700,7667.14,3967.14,11-02-2004 00:00,Shipped,4,11,2004,Motorcycles,S10_4698,Diecast Classics Inc.,2155551555,Allentown,PA,USA,Yu,Kyung,Large
10329,26,100,2600,5868.2,3268.2,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles,S10_4698,Land of Toys Inc.,2125557818,NYC,NY,USA,Yu,Kwai,Medium
10339,39,76.67,2990.13,2990.13,0,11/23/2004 0:00,Shipped,4,11,2004,Motorcycles,S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,Minato-ku,Tokyo,Japan,Shimamura,Akiko,Small
10362,22,100,2200,3664.1,1464.1,01-05-2005 00:00,Shipped,1,1,2005,Motorcycles,S10_4698,Technics Stores Inc.,6505556809,Burlingame,CA,USA,Hirano,Juri,Medium
10374,22,100,2200,3834.38,1634.38,02-02-2005 00:00,Shipped,1,2,2005,Motorcycles,S10_4698,"Australian Gift Network, Co",61-7-3844-6555,South Brisbane,Queensland,Australia,Calaghan,Tony,Medium
10388,21,86.77,1822.17,1822.17,0,03-03-2005 00:00,Shipped,1,3,2005,Motorcycles,S10_4698,FunGiftIdeas.com,5085552555,New Bedford,MA,USA,Benitez,Violeta,Small
10403,66,100,6600,11886.6,5286.6,04-08-2005 00:00,Shipped,2,4,2005,Motorcycles,S10_4698,"UK Collectables, Ltd.",(171) 555-2282,Liverpool,Liverpool,UK,Devon,Elizabeth,Large
10417,56,100,5600,9218.16,3618.16,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles,S10_4698,Euro Shopping Channel,(91) 555 94 44,Madrid,Madrid,Spain,Freyre,Diego,Large
10105,50,100,5000,7208,2208,02-11-2003 00:00,Shipped,1,2,2003,Classic Cars,S10_4757,Danish Wholesale Imports,31 12 3555,Kobenhavn,Kobenhavn,Denmark,Petersen,Jytte,Large
10119,46,100,4600,5004.8,404.8,4/28/2003 0:00,Shipped,2,4,2003,Classic Cars,S10_4757,Salzburg Collectables,6562-9555,Salzburg,Salzburg,Austria,Pipps,Georg,Medium
10129,33,100,3300,4398.24,1098.24,06-12-2003 00:00,Shipped,2,6,2003,Classic Cars,S10_4757,"Stylish Desk Decors, Co.",(171) 555-0297,London,London,UK,Brown,Ann,Medium
10143,49,100,4900,5597.76,697.76,08-10-2003 00:00,Shipped,3,8,2003,Classic Cars,S10_4757,Mini Creations Ltd.,5085559555,New Bedford,MA,USA,Tam,Wing C,Medium
10155,32,100,3200,4526.08,1326.08,10-06-2003 00:00,Shipped,4,10,2003,Classic Cars,S10_4757,"Toys of Finland, Co.",90-224 8555,Helsinki,Helsinki,Finland,Karttunen,Matti,Medium
10167,44,100,4400,5924.16,1524.16,10/23/2003 0:00,Cancelled,4,10,2003,Classic Cars,S10_4757,Scandinavian Gift Ideas,0695-34 6555,Boras,Boras,Sweden,Larsson,Maria,Medium
10178,24,100,2400,3492.48,1092.48,11-08-2003 00:00,Shipped,4,11,2003,Classic Cars,S10_4757,Alpha Cognac,61.77.6555,Toulouse,Toulouse,France,Roulet,Annette,Medium
10186,26,100,2600,3854.24,1254.24,11/14/2003 0:00,Shipped,4,11,2003,Classic Cars,S10_4757,"Double Decker Gift Stores, Ltd",(171) 555-7555,London,London,UK,Hardy,Thomas,Medium
10197,45,100,4500,5324.4,824.4,11/26/2003 0:00,Shipped,4,11,2003,Classic Cars,S10_4757,Enaco Distributors,(93) 203 4555,Barcelona,Barcelona,Spain,Saavedra,Eduardo,Medium
10209,39,100,3900,5197.92,1297.92,01-09-2004 00:00,Shipped,1,1,2004,Classic Cars,S10_4757,"Men 'R' US Retailers, Ltd.",2155554369,Los Angeles,CA,USA,Chandler,Michael,Medium
10222,49,100,4900,5997.6,1097.6,2/19/2004 0:00,Shipped,1,2,2004,Classic Cars,S10_4757,Collectable Mini Designs Co.,7605558146,San Diego,CA,USA,Thompson,Valarie,Medium
10248,20,100,2000,2910.4,910.4,05-07-2004 00:00,Cancelled,2,5,2004,Classic Cars,S10_4757,Land of Toys Inc.,2125557818,NYC,NY,USA,Yu,Kwai,Small
10261,27,100,2700,3378.24,678.24,6/17/2004 0:00,Shipped,2,6,2004,Classic Cars,S10_4757,Quebec Home Shopping Network,(514) 555-8054,Montreal,Quebec,Canada,Fresnisre,Jean,Medium
10273,30,100,3000,3508.8,508.8,7/21/2004 0:00,Shipped,3,7,2004,Classic Cars,S10_4757,Petit Auto,(02) 5554 67,Bruxelles,Bruxelles,Belgium,Dewey,Catherine,Medium
10283,25,100,2500,2992,492,8/20/2004 0:00,Shipped,3,8,2004,Classic Cars,S10_4757,"Royal Canadian Collectables, Ltd.",(604) 555-4555,Tsawassen,BC,Canada,Lincoln,Elizabeth,Small
10295,24,100,2400,3427.2,1027.2,09-10-2004 00:00,Shipped,3,9,2004,Classic Cars,S10_4757,Gifts4AllAges.com,6175559555,Boston,MA,USA,Yoshido,Juri,Medium
10307,22,100,2200,2692.8,492.8,10/14/2004 0:00,Shipped,4,10,2004,Classic Cars,S10_4757,"Classic Gift Ideas, Inc",2155554695,Philadelphia,PA,USA,Cervantes,Francisca,Small
10316,33,100,3300,4128.96,828.96,11-01-2004 00:00,Shipped,4,11,2004,Classic Cars,S10_4757,giftsbymail.co.uk,(198) 555-8888,Cowes,Isle of Wight,UK,Bennett,Helen,Medium
10325,47,64.93,3051.71,3051.71,0,11-05-2004 00:00,Shipped,4,11,2004,Classic Cars,S10_4757,Baane Mini Imports,07-98 9555,Stavern,Stavern,Norway,Bergulfsen,Jonas,Medium
10337,25,48.05,1201.25,1201.25,0,11/21/2004 0:00,Shipped,4,11,2004,Classic Cars,S10_4757,Classic Legends Inc.,2125558493,NYC,NY,USA,Hernandez,Maria,Small
10350,26,75.47,1962.22,1962.22,0,12-02-2004 00:00,Shipped,4,12,2004,Classic Cars,S10_4757,Euro Shopping Channel,(91) 555 94 44,Madrid,Madrid,Spain,Freyre,Diego,Small
10359,48,54.68,2624.64,2624.64,0,12/15/2004 0:00,Shipped,4,12,2004,Classic Cars,S10_4757,Reims Collectables,26.47.1555,Reims,Reims,France,Henriot,Paul,Small
10373,39,100,3900,4046.25,146.25,1/31/2005 0:00,Shipped,1,1,2005,Classic Cars,S10_4757,"Oulu Toy Supplies, Inc.",981-443655,Oulu,Oulu,Finland,Koskitalo,Pirkko,Medium
10384,34,100,3400,4846.7,1446.7,2/23/2005 0:00,Shipped,1,2,2005,Classic Cars,S10_4757,Corporate Gift Ideas Co.,6505551386,San Francisco,CA,USA,Brown,Julie,Medium
10395,32,100,3200,3370.56,170.56,3/17/2005 0:00,Shipped,1,3,2005,Classic Cars,S10_4757,Lyon Souveniers,+33 1 46 62 7555,Paris,Paris,France,Da Cunha,Daniel,Medium
10400,64,100,6400,9661.44,3261.44,04-01-2005 00:00,Shipped,2,4,2005,Classic Cars,S10_4757,The Sharp Gifts Warehouse,4085553659,San Jose,CA,USA,Frick,Sue,Large
10414,19,100,1900,2764.88,864.88,05-06-2005 00:00,On Hold,2,5,2005,Classic Cars,S10_4757,Gifts4AllAges.com,6175559555,Boston,MA,USA,Yoshido,Juri,Small
10103,42,100,4200,5398.26,1198.26,1/29/2003 0:00,Shipped,1,1,2003,Classic Cars,S10_4962,Baane Mini Imports,07-98 9555,Stavern,Stavern,Norway,Bergulfsen,Jonas,Medium
10114,31,100,3100,4305.28,1205.28,04-01-2003 00:00,Shipped,2,4,2003,Classic Cars,S10_4962,"La Corne D'abondance, Co.",(1) 42.34.2555,Paris,Paris,France,Bertrand,Marie,Medium
